"publication_ID","relatedItem_1_titleInfo_title","identifier_#text","state","year","volume","number","titleInfo_title"
"1365112232","Programs","bta_1365112232_","AK",,,,"43rd Annual Convention"
"37264328",,"bta_37264328_KY_1936_006_002","KY","1936","006","002","Vol. 6, No. 2"
"37264328",,"bta_37264328_KY_1952_023_001","KY","1952","023","001","Vol. 23, No. 1"
"213097582","Annual Sessions","AL_ 213097582_1958","AL","1958",,,,"75th"
"18022955","Alabama Publications","AL_18022955_1948","AL","1948",,,,"Serving Alabama's children : a handbook of available sources and of suggestive resources"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1930_022","OK","1930","022",,"22nd Annual Session"
"886865738","Alabama Publications","AL_886865738_1957","AL","1957",,,,"Twenty-one hundred years of service to Alabama's children"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1951_023_002","AR","1951","023","002","Vol. 23, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1950_023_003","AR","1950","023","003","Vol. 23, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1953_023_009","AR","1953","023","009","Vol. 23, No. 9"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1953_023_010","AR","1953","023","010","Vol. 23, No. 10"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1954_023_012","AR","1954","023","012","Vol. 23, No. 12"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1950_022_002","AR","1950","022","002","Vol. 22, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1950_022_003","AR","1950","022","003","Vol. 22, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1954_024_001","AR","1954","024","001","Vol. 24, No.1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1954_024_002","AR","1954","024","002","Vol. 24, No.2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1951_022_004","AR","1951","022","004","Vol. 22, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1951_023_004","AR","1951","023","004","Vol. 23, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1952_023_005a","AR","1952","023","005a","Vol. 23, No. 5"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1951_023_001","AR","1951","023","001","Vol. 23, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1950_021_004","AR","1950","021","004","Vol. 21, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1950_022_001","AR","1950","022","001","Vol. 22, No. 1"
"1389573522","ATA Memos","bta_1389573522_US_1956_033","US","1956","033",,"No. 33"
"1389573522","ATA Memos","bta_1389573522_US_1956_034","US","1956","034",,"No. 34"
"1389573522","ATA Memos","bta_1389573522_US_1956_035","US","1956","035",,"No. 35"
"1389573522","ATA Memos","bta_1389573522_US_1956_028","US","1956","028",,"No. 28"
"1389807411","53rd ATA Convention Supplement","bta_1389807411_US_1956_005","US","1956","005",,"No. 5"
"1389807411","53rd ATA Convention Supplement","bta_1389807411_US_1956_004","US","1956","004",,"No. 4"
"1389573522","ATA Memos","bta_1389573522_US_1956_036","US","1956","036",,"No. 36"
"1389573522","ATA Memos","bta_1389573522_US_1956_026","US","1956","026",,"No. 26"
"1389573522","ATA Memos","bta_1389573522_US_1956_037","US","1956","037",,"No. 37"
"1389573522","ATA Memos","bta_1389573522_US_1956_024","US","1956","024",,"No. 24"
"1389573522","ATA Memos","bta_1389573522_US_1956_022","US","1956","022",,"No. 22"
"1389573522","ATA Memos","bta_1389573522_US_1956_021","US","1956","021",,"No. 21"
"1389573522","ATA Memos","bta_1389573522_US_1956_020","US","1956","020",,"No. 20, ""Intergroup Education for Improved Human Relations"": Some Suggestive Titles"
"1389573522","ATA Memos","bta_1389573522_US_1956_019","US","1956","019",,"No. 19, A 1956 Summer Emphasis Project in ""Improving Human Relaions"""
"1389489263","National Publications","bta_1389489263_US_1956_001","US","1956","001",,"No. 1, 53rd ATA Convention Reporter"
"1389573522","ATA Memos","bta_1389573522_US_1956_025","US","1956","025",,"No. 25"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1936_009_001","AR","1936","009","001","Vol. 9, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1948_020_002","AR","1948","020","002","Vol. 20, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1937_010_001","AR","1937","010","001","Vol. 10, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1964_033_002","AR","1964","033","002","Vol. 33, No. 2"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1938_011_001","AR","1938","011","001","Vol. 11, No. 1"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1939_011_004","AR","1939","011","004","Vol. 11, No. 4"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1931_004_003","AR","1931","004","003","Vol. 4, No. 3"
"31202450","Bulletin of the Arkansas Teachers Association","bta_31202450_AR_1945_017_002","AR","1945","017","002","Vol. 17, No. 2"
"1389581980","National Publications","bta_1389581980_US","US",,,,"Human Relations Emphasis Week Program"
"1389581583","National Publications","bta_1389581583_US","US",,,,"Report of the Project-Improving Human Relations"
"1383659617","Programs of the Southern Oklahoma Teachers' Association Programs","bta_1383659617_OK_1939_015","OK","1939","015",,"15th Annual Session"
"1382402603","Programs of the East Central District Teachers Assoiction","bta_1382402603_OK_1948_002","OK","1948","002",,"2nd Annual Session"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1950_042","OK","1950","042",,"42nd Annual Session"
"1383660021","Programs of the West Central District Association of Negro Teachers","bta_1383660021_OK_1947_001","OK","1947","001",,"First Annual Session"
"1385352686","Programs of the East District Teachers Association","bta_1385352686_OK_1950_003","OK","1950","003",,"3rd Annual Session"
"1383659617","Programs of the Southern Oklahoma Teachers' Association Programs","bta_1383659617_OK_1948_024","OK","1948","024",,"24th Annual Session"
"1383659617","Programs of the Southern Oklahoma Teachers' Association Programs","bta_1383659617_OK_1940_016","OK","1940","016",,"16th Annual Session"
"1383659617","Programs of the Southern Oklahoma Teachers' Association Programs","bta_1383659617_OK_1950_026","OK","1950","026",,"26th Annual Session"
"1383659617","Programs of the Southern Oklahoma Teachers' Association Programs","bta_1383659617_OK_1949_025","OK","1949","025",,"25 Annual Session"
"1383660021","Programs of the West Central District Association of Negro Teachers","bta_1383660021_OK_1951_004","OK","1951","004",,"Fourth Annual Session"
"1383660021","Programs of the West Central District Association of Negro Teachers","bta_1383660021_OK_1948_002","OK","1948","002",,"Second Annual Session"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1952_044","OK","1952","044",,"44th Annual Session"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1956_048","OK","1956","048",,"48th Annual Session"
"1382402603","Programs of the East Central District Teachers Assoiction","bta_1382402603_OK_1950_003","OK","1950","003",,"3rd Annual Session"
"1382388080","Programs of Oklahoma Association of Negro Teachers","bta_1382388080_OK_1953","OK","1953",,,"Bulletin West Central District Association of Negro Teachers"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1938_030","OK","1938","030",,"30th Annual Session"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1937_029","OK","1937","029",,"29th Annual Session"
"1382402603","Programs of the East Central District Teachers Assoiction","bta_1382402603_OK_1947_001","OK","1947","001",,"1st Annual Session"
"1382584654","Proceedings of the Oklahoma Association of Negro Teachers","bta_1382584654_OK_1929_021","OK","1929","021",,"21st Annual Session"
"1382580622","Programs of the East District Teachers Association","bta_1382580622_OK_1948_002 ","OK","1948","002 ",,"2nd Annual Session"
"1382339027","Programs of Oklahoma Association of Negro Teachers","bta_1382339027_OK_1955_047","OK","1955","047",,"47th Annual Session"
