State,Participant Name,Institution,Collection,Project Title,Link,Years Covered,Year of Interview,Project Overview
Alabama,Joe Reed,George Washington University,"Special Collections Research Center, The George Washington University Repository",NEA Collection (Joe Reed Interview),https://searcharchives.library.gwu.edu/repositories/2/archival_objects/262189,1954-2011,2008,Joe Reed's experience with the NEA during merger with Alabama Education Association as Alabama State Teachers Association subsumed.
Alabama,Hannah H. Thomas,Atlanta University Center : The History Makers,The HistoryMakers video oral history with Hannah H. Thomas.,HistoryMakers (Video oral history collection),https://www.thehistorymakers.org/sites/default/files/A2005_065_EAD.pdf,1920,2016,"Civic activist and educator Hannah H. Thomas was born in Florence, Alabama on December 25, 1916. Daughter of Evernee Hubbard and Everett N. Hawkins, Thomas was the eighth of ten children. She graduated from the Burrell High School in Florence, Alabama in 1939. She earned her B.S. degree in education from Alabama A&M University in 1951 and her M.S. degree in education from the University of Cincinnati in 1964. Thomas taught school for more than ten years in Alabama, and was named Teacher of the Year in 1956. She migrated to Cincinnati in 1958, and taught in the public schools of that community for twenty-two years. Thomas officially retired from teaching, continued to work as an educator, and founded Cincinnati's African American Heritage Day and the Sojourner Truth Drama group. She has received numerous awards including Cincinnati Enquirer's Woman of the Year Award in 1992"
Alabama,Joe L. Reed (1938-),"United States District Court, Middle District of Alabama",Oral Histories Project,Joe L. Reed,Part 1 ; Part 2,1940s-present,2021,"Discusses life in Alabama, schools, civil rights, and Alabama State Teachers Association, including merger. "
Alabama,Lucille Summers (1912-,"University of Alabama, Birmingham - Mervyn H. Sterne Library",University of Alabama in Birmingham Oral History Research Project,Forty years of Black education in the South : [Lucille Summers memoir],https://uab.contentdm.oclc.org/digital/collection/oralhistory/id/509/rec/1,1980,1980,"Lucile Summers, retired Black teacher, remembers what segregation was like when she was growing up and recalls her experiences in teaching in both segregated and integrated schools"
Alabama ,Willie Mae Lee Crews,"University of North Carolina at Chapel hill
Chapel Hill: Center for the Study of the American South",Oral Histories of the American South: The Civil Rights Movement,"Oral History Interview with Willie Mae Lee Crews, June 16, 2005. Interview U-0020. Southern Oral History Program Collection (#4007).",https://docsouth.unc.edu/sohp/U-0020/menu.html,1930s-1980s,2005,"Willie Mae Lee Crews was born into a sharecropping family in Marion, Alabama, during the 1930s. She describes her childhood as impoverished, but stresses that she was instilled with a strong work ethic by her close-knit family. During the 1950s, Crews attended Dillard University in New Orleans on scholarship and then continued her education at the graduate level at Fisk University in Nashville. As a graduate student in sociology, Crews was sent to Montgomery, Alabama, to interview participants in the bus boycott. By the early 1960s, Crews had become a teacher. She describes her work at Hayes High School, an African American school in Birmingham, during the 1960s and 1970s. Crews first started teaching at Hayes in 1963; she describes it as an excellent segregated school with strong leadership and high standards for its students. Crews was still teaching at Hayes in 1970-1971 when Birmingham schools were desegregated. Here, she focuses more on efforts to integrate faculty rather than on efforts to integrate students. She describes how the school district transferred teachers in a way that favored white teachers and schools to the detriment of students at schools like Hayes. Crews also discusses the role of segregated housing in creating what she calls a ""projects mentality."" Social trends such as this, along with ineffective policies and the influx of poorly trained teachers, were to blame for the deterioration of integrated schools. In particular, she laments the disappearance of teaching philosophies that had stressed teaching students integrity, social responsibility, and self-confidence that had characterized Hayes High School prior to desegregation."
Arizona,Jefferson Eugene Grigsby ,The History Makers,Education Makers ,HistoryMakers (Video oral history collection),https://www.thehistorymakers.org/sites/default/files/A2007_204_EAC.pdf,1920s,2007,"Artist and professor Jefferson Eugene Grigsby was born on October 17, 1918, in Greensboro, North Carolina. Grigsby received his B.A. degree from Morehouse College in Atlanta, Georgia; his M.A. degree in art from Ohio State University in Columbus, Ohio; and his Ph.D. from New York University in New York, New York. In 1946, Grigsby began working as an art teacher at Carver High School in Phoenix, Arizona; in 1954, he moved to Phoenix Union High School. In 1958, Grigsby taught art at the Brussels World Fair. While working at Arizona State University, Grigsby published Art and Ethics: Background for Teaching Youth in a Pluralistic Society. It was the first book ever written for art teachers by an African American artist and author. Grigsby was on the boards of numerous organizations, including the National Art Education Association. Grigsby passed away on June 9, 2013, at the age of 94."
Arizona,Veora Johnson,University of Denver ,A Sound Model Digital Archive,"Oral history interview with Ms. Veora Johnson, 2001 April 19, 2006 Marc",https://duarchives.coalliance.org/repositories/2/archival_objects/146971,N/A,2001,"Johnson details her education in Texas and tells of her move to Mesa, Arizona, to teach public school. She discusses the history of the Mesa school system during segregation and after. She describes when the schools were integrated and what it was like being the first African American teacher at the Irving School. Johnson also gives some history of the Washington area and talks about race relations in Mesa."
Arizona ,Annie Watkins ,Northern Arizona Univeristy,Los Recuerdos del Barrio en Flagstaff;,,http://archive.library.nau.edu/digital/collection/cpa/id/116178/,N/A,2014,"In this oral history interview, Flagstaff resident and retired teacher, Annie Watkins, describes her childhood in Louisiana and daily life on the family farm. She also talks about being newly married and coming to Flagstaff to pursue an education degree. Annie recounts the various teaching positions that she held and the discrimination she experienced as an African-American in Flagstaff."
Arkansas,Lula Mae Ford,The History Makers,Education Makers ,HistoryMakers (Video oral history collection),https://www.thehistorymakers.org/biography/lula-ford-41,1965-2008,2008,"In 1965, Ford began teaching at Horner Elementary School. She resigned in 1979, to become a liaison for parents and the principal selection committee as the ESEA reading teacher and coordinator. Ford later served as principal of Beethoven Elementary School and was awarded the principal of excellence award for her performance in 1992, 1993 and 1994."
Arkansas,Mr. Jones [no first name was given],University of Arkansas ,Land of (Unequal) Opportunity: Documenting the Civil Rights Struggle in Arkansas,"Oral History Interview with Teacher in Segregated School
",https://digitalcollections.uark.edu/digital/collection/Civilrights/id/1532/,N/A,1977,"An interview a Mr. Jones [no first name given] about his experiences teaching in Arkadelphia, Arkansas segregated school system"
Arkansas,Evangeline Brown,Univeristy of Central Arkansas,Oral Histories: Delta Project,Interviewee: Evangeline Brown,https://uca.edu/archives/delta-project-history/,1940s-1980s,1994,"Life story of Evangeline Brown focusing on her experience as a teacher and civil rights. Brown tells of the events of her forty-four years of teaching in both segregated and integrated schools in the south during the Civil Rights Movement.

"
Arkansas,Mary Jeffers,Univeristy of Central Arkansas,Oral Histories: Delta Project,Interviewee: Future and Mary Jeffers,https://uca.edu/archives/delta-project-history/,1940s-1980s,1994,"Life of Mary Jeffers focusing on the Civil Rights Movement. The interview focuses on Mary Jeffers’ years as a teacher at Stewart Elementary School in the Forrest City School District and describes how the faculty coped with integration.
"
Arkansas,Christine Johnson,History Colorado,History Colorado -- Colorado Black Voices,"Oral history interview with Christine Johnson, AR.OH.703",https://soundcloud.com/historycolorado/oral-history-interview-with-christine-johnson-aroh703?in=historycolorado/sets/colorados-black-voices&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,N/A,1977,"Johnson recounts her childhood in Little Rock, Arkansas, and her later career as a teacher. This oral history was collected as part of the African American Advisory Council."
